"cases","deaths"
16569783,301016
16772936,304041
17017763,307652
17255472,310950
17506662,313820
17700567,316381
17880478,317810
18081996,319773
18283633,323012
18511396,326424
18704907,329248
18805838,330377
19022699,332023
19174788,333253
19363798,335152
19564828,338780
19793777,342588
20024801,346050
20172049,347970
20463659,350343
20665439,351694
20917269,353743
21152285,357432
21408251,361396
21688585,365509
21989362,369404
22241281,372663
22449576,374440
22675892,376488
22905869,380894
23135194,384824
23374716,388804
23614569,392553
23816762,395894
23986856,397624
24127989,399065
24314933,401836
24500421,406216
24690903,410351
24882468,414082
25050385,417404
25180061,419219
25336637,421126
25487275,425224
25643045,429326
25809220,433194
25973835,436794
26107635,439435
26221430,441299
26363284,443249
26478540,446860
26598723,450703
26724359,455820
26853860,459390
26958807,462052
27046088,463353
27139070,464936
27235460,468106
27330435,471360
27436075,475238
27535702,480701
27620354,484073
27684134,485154
27739406,486148
27803946,487855
27874107,490326
27945898,492951
28023910,495572
28093630,497403
28148810,498650
28208276,500104
28280189,502432
28354383,505642
28432264,508107
28510582,510283
28573256,511850
28624161,512979
28680857,514404
28738501,515710
28805113,518079
28872395,520028
28938090,522511
28994675,523970
29034739,524646
29129252,525466
29185151,527351
29243346,528825
29305733,530349
29369899,532054
29419456,533928
29457445,534497
29514609,535246
29569140,536491
29628071,537668
29688541,539226
29749164,540740
29803589,541512
29837782,541960
29892498,542608
29949244,543501
30029147,545091
30098263,546361
30172762,547621
30233462,548401
30277977,548891
30348716,549576
30410950,550523
30478886,551658
30556079,552615
30624668,553571
30688804,554324
30725627,554596
30802221,555126
30864193,556035
30937283,558606
31017741,559608
31099323,560554
31164081,561258
31212058,561559
31283990,562024
31361311,563007
